settlement_id,district,split,fold_id
S0765,Keningau,train,1
S0766,Keningau,train,1
S0767,Keningau,train,1
S0768,Keningau,train,1
S0769,Keningau,train,1
S0770,Keningau,train,1
S0771,Keningau,train,1
S0772,Keningau,train,1
S0773,Keningau,train,1
S0774,Keningau,train,1
S0775,Keningau,train,1
S0776,Keningau,train,1
S0777,Keningau,train,1
S0778,Keningau,train,1
S0779,Keningau,train,1
S0780,Keningau,train,1
S0781,Keningau,train,1
S0792,Tongod,validate,-1
S0796,Keningau,validate,-1
S0797,Keningau,train,1
S0798,Keningau,validate,-1
S0799,Keningau,train,1
S0800,Tambunan,validate,-1
S0801,Keningau,train,1
S0803,Tambunan,validate,-1
S0804,Tambunan,train,3
S0805,Tambunan,validate,-1
S0808,Keningau,validate,-1
S0809,Keningau,train,1
S0813,Tambunan,train,3
S0814,Tambunan,validate,-1
S0815,Tambunan,validate,-1
S0816,Tambunan,train,3
S0817,Tambunan,train,3
S0818,Tambunan,validate,-1
S0819,Tambunan,train,3
S0820,Tambunan,train,3
S0822,Tambunan,train,3
S0823,Tambunan,train,3
S0824,Tambunan,validate,-1
S0825,Tambunan,train,3
S0826,Tambunan,train,3
S0828,Tambunan,train,3
S0829,Ranau,validate,-1
S0831,Tambunan,train,3
S0832,Tambunan,train,3
S0833,Tambunan,train,3
S0834,Tambunan,validate,-1
S0835,Tambunan,train,3
S0836,Tambunan,train,3
S0837,Ranau,train,0
S0839,Tambunan,validate,-1
S0840,Tambunan,validate,-1
S0841,Ranau,validate,-1
S0843,Tambunan,train,3
S0845,Tambunan,validate,-1
S0846,Tambunan,validate,-1
S0847,Ranau,validate,-1
S0848,Tambunan,validate,-1
S0849,Tambunan,validate,-1
S0850,Ranau,train,0
S0851,Ranau,train,0
S0852,Tambunan,train,3
S0854,Tambunan,train,3
S0856,Ranau,train,0
S0857,Ranau,train,0
S0858,Ranau,validate,-1
S0860,Ranau,train,0
S0861,Ranau,validate,-1
S0862,Ranau,train,0
S0863,Ranau,train,0
S0864,Ranau,train,0
S0865,Ranau,train,0
S0866,Ranau,validate,-1
S0867,Ranau,train,0
S0868,Ranau,train,0
S0870,Ranau,train,0
S0871,Ranau,validate,-1
S0872,Ranau,train,0
S0873,Ranau,train,0
S0874,Ranau,train,0
S0875,Ranau,train,0
S0876,Ranau,train,0
S0879,Ranau,train,0
S0881,Ranau,train,0
S0882,Ranau,train,0
S0883,Ranau,train,0
S0885,Ranau,train,0
S0886,Ranau,train,0
S0887,Ranau,validate,-1
S0888,Ranau,validate,-1
S0889,Ranau,train,0
S0890,Ranau,train,0
S0891,Ranau,train,0
S0892,Ranau,train,0
S0893,Ranau,train,0
S0894,Ranau,train,0
S0895,Ranau,train,0
S0896,Ranau,train,0
S0897,Ranau,train,0
S0898,Ranau,train,0
S0899,Ranau,train,0
S0900,Ranau,train,0
S0902,Ranau,train,0
S0903,Ranau,train,0
S0904,Ranau,validate,-1
S0905,Ranau,train,0
S0906,Ranau,validate,-1
S0907,Ranau,validate,-1
S0908,Ranau,validate,-1
S0909,Ranau,train,0
S0910,Ranau,train,0
S0912,Ranau,train,0
S0914,Ranau,train,0
S0915,Ranau,train,0
S0916,Ranau,train,0
S0917,Ranau,train,0
S0918,Ranau,train,0
S0919,Ranau,train,0
S0920,Ranau,train,0
S0921,Ranau,train,0
S0922,Ranau,train,0
S0924,Ranau,train,0
S0925,Ranau,train,0
S0926,Ranau,validate,-1
S0927,Ranau,validate,-1
S0928,Ranau,train,0
S0929,Ranau,train,0
S0930,Ranau,train,0
S0931,Ranau,train,0
S0934,Ranau,train,0
S0936,Ranau,train,0
S0938,Ranau,validate,-1
S0939,Ranau,train,0
S0940,Ranau,train,0
S0941,Ranau,train,0
S0942,Ranau,train,0
S0943,Ranau,validate,-1
S0944,Ranau,train,0
S0945,Ranau,train,0
S0946,Ranau,train,0
S0949,Ranau,train,0
S0950,Ranau,train,0
S0951,Ranau,validate,-1
S0952,Ranau,train,0
S0953,Ranau,train,0
S0954,Ranau,train,0
S0955,Ranau,train,0
S0956,Ranau,train,0
S0957,Ranau,train,0
S0958,Ranau,train,0
S0959,Ranau,train,0
S0960,Ranau,train,0
S0961,Ranau,train,0
S0962,Ranau,train,0
S0963,Ranau,train,0
S0964,Ranau,train,0
S0965,Ranau,validate,-1
S0966,Ranau,train,0
S0967,Ranau,train,0
S0968,Ranau,train,0
S0969,Ranau,train,0
S0970,Ranau,train,0
S0971,Ranau,train,0
S0972,Ranau,train,0
S0973,Ranau,train,0
S0974,Ranau,train,0
S0975,Ranau,train,0
S0976,Ranau,train,0
S0977,Ranau,train,0
S0978,Ranau,train,0
S0979,Ranau,train,0
S0980,Ranau,train,0
S0981,Ranau,train,0
S0982,Ranau,train,0
S0983,Ranau,train,0
S0984,Ranau,train,0
S0985,Ranau,train,0
S0986,Ranau,train,0
S0987,Ranau,train,0
S0988,Ranau,train,0
S0989,Ranau,train,0
S0990,Ranau,train,0
S0991,Ranau,train,0
S0992,Ranau,train,0
S0993,Ranau,train,0
S0994,Ranau,train,0
S0995,Ranau,train,0
S0996,Ranau,train,0
S0997,Ranau,train,0
S0998,Ranau,train,0
S1000,Ranau,train,0
S1002,Ranau,train,0
S1003,Ranau,train,0
S1004,Ranau,train,0
S1005,Ranau,train,0
S1006,Ranau,train,0
S1007,Ranau,train,0
S1008,Ranau,train,0
S1010,Ranau,train,0
S1011,Tambunan,train,3
S1015,Ranau,validate,-1
S1016,Ranau,train,0
S1018,Ranau,train,0
S1019,Ranau,train,0
S1020,Ranau,train,0
S1021,Ranau,train,0
S1022,Ranau,train,0
S1023,Ranau,train,0
S1024,Ranau,train,0
S1025,Ranau,train,0
S1026,Ranau,train,0
S1027,Ranau,train,0
S1028,Ranau,train,0
S1029,Ranau,train,0
S1030,Ranau,train,0
S1031,Ranau,train,0
S1032,Ranau,validate,-1
S1033,Ranau,train,0
S1034,Ranau,train,0
S1035,Ranau,train,0
S1036,Ranau,train,0
S1037,Ranau,train,0
S1038,Ranau,train,0
S1039,Ranau,train,0
S1040,Ranau,train,0
S1041,Ranau,train,0
S1042,Ranau,train,0
S1043,Ranau,train,0
S1044,Ranau,train,0
S1045,Ranau,validate,-1
S1046,Ranau,train,0
S1047,Ranau,train,0
S1048,Ranau,train,0
S1049,Ranau,train,0
S1050,Ranau,train,0
S1052,Ranau,validate,-1
S1053,Ranau,train,0
S1054,Ranau,train,0
S1055,Nabawan,validate,-1
S1059,Nabawan,validate,-1
S1060,Keningau,train,1
S1064,Nabawan,validate,-1
S1066,Keningau,train,1
S1067,Keningau,train,1
S1068,Keningau,train,1
S1069,Keningau,train,1
S1070,Keningau,train,1
S1071,Keningau,train,1
S1072,Keningau,train,1
S1073,Keningau,validate,-1
S1074,Keningau,train,1
S1076,Keningau,train,1
S1078,Keningau,train,1
S1079,Keningau,train,1
S1080,Keningau,train,1
S1081,Keningau,train,1
S1083,Keningau,train,1
S1091,Pitas,train,4
S1092,Pitas,validate,-1
S1093,Pitas,train,4
S1094,Pitas,validate,-1
S1097,Pitas,train,4
S1102,Pitas,train,4
S1103,Pitas,validate,-1
S1106,Pitas,validate,-1
S1110,Pitas,validate,-1
S1114,Pitas,validate,-1
S1115,Pitas,validate,-1
S1116,Pitas,validate,-1
S1117,Pitas,validate,-1
S1118,Pitas,validate,-1
S1119,Pitas,validate,-1
S1120,Pitas,validate,-1
S1121,Pitas,validate,-1
S1122,Beaufort,train,3
S1127,Papar,train,2
S1128,Beluran,validate,-1
S1130,Beluran,validate,-1
S1133,Tuaran,validate,-1
S1135,Tawau,validate,-1
S1136,Tambunan,train,3
S1137,Tambunan,validate,-1
S1138,Tambunan,train,3
S1139,KotaKinabalu,train,3
S1140,KotaKinabalu,train,3
S1141,Tawau,train,3
S1142,Penampang,train,2
S1143,KotaKinabalu,train,3
S1144,Sandakan,train,2
S1145,Sandakan,train,2
S1146,Beluran,train,4
S1147,Tambunan,train,3
S1148,Tambunan,train,3
S1149,Tambunan,train,3
S1150,Tambunan,train,3
S1151,Tambunan,train,3
S1152,Tambunan,train,3
S1153,Tenom,train,3
S1154,Tenom,train,3
S1155,Tenom,train,3
S1156,Keningau,train,1
S1157,Keningau,train,1
S1158,Keningau,train,1
S1159,Keningau,train,1
S1160,Sandakan,train,2
S1161,Sandakan,train,2
S1162,Sandakan,train,2
S1163,Sandakan,train,2
S1164,Sandakan,train,2
S1165,Sandakan,train,2
S1166,Penampang,train,2
S1167,Penampang,train,2
S1168,KotaKinabalu,train,3
S1169,Penampang,train,2
S1170,KotaKinabalu,train,3
S1171,Penampang,train,2
S1172,Penampang,train,2
S1173,KotaKinabalu,train,3
S1174,KotaKinabalu,train,3
S1175,KotaKinabalu,train,3
S1176,KotaKinabalu,train,3
S1177,KotaKinabalu,train,3
S1178,KotaKinabalu,train,3
S1179,KotaKinabalu,train,3
S1180,KotaKinabalu,train,3
S1181,Sandakan,train,2
S1182,Keningau,train,1
S1183,Keningau,train,1
S1184,Keningau,train,1
S1185,Keningau,train,1
S1186,Keningau,train,1
S1187,Keningau,train,1
S1188,Papar,train,2
S1189,Beaufort,validate,-1
S1190,KotaMarudu,train,2
S1191,KotaMarudu,train,2
S1192,KotaMarudu,train,2
S1193,KotaMarudu,train,2
S1194,Ranau,train,0
S1195,Sandakan,train,2
S1198,Pitas,validate,-1
S1203,Pitas,validate,-1
S1205,Pitas,validate,-1
S1207,Pitas,train,4
S1208,Pitas,train,4
S1209,Pitas,train,4
S1210,Pitas,train,4
S1211,Pitas,train,4
S1212,Pitas,train,4
S1213,Pitas,validate,-1
S1214,Pitas,validate,-1
S1215,Pitas,validate,-1
S1216,Pitas,train,4
S1217,Pitas,validate,-1
S1220,Pitas,train,4
S1221,Pitas,validate,-1
S1222,Pitas,train,4
S1223,Pitas,train,4
S1224,Pitas,validate,-1
S1226,Pitas,train,4
S1227,Pitas,train,4
S1228,Pitas,train,4
S1229,Pitas,train,4
S1230,Pitas,validate,-1
S1231,Pitas,validate,-1
S1232,Pitas,validate,-1
S1233,Pitas,train,4
S1235,Pitas,train,4
S1236,Pitas,validate,-1
S1238,Pitas,validate,-1
S1240,Pitas,train,4
S1241,Pitas,train,4
S1242,Pitas,validate,-1
S1243,Pitas,train,4
S1244,Pitas,validate,-1
S1245,Pitas,train,4
S1247,Pitas,train,4
S1248,Pitas,train,4
S1249,Pitas,train,4
S1250,Pitas,train,4
S1251,Pitas,validate,-1
S1252,Pitas,train,4
S1253,Pitas,validate,-1
S1254,Pitas,validate,-1
S1255,Pitas,validate,-1
S1256,Pitas,validate,-1
S1257,Tenom,train,3
S1259,Tenom,train,3
S1262,Tenom,train,3
S1263,Tenom,validate,-1
S1264,Tenom,train,3
S1265,Tenom,train,3
S1266,Tenom,train,3
S1267,Tenom,train,3
S1268,Tenom,train,3
S1270,Tenom,train,3
S1271,Tenom,train,3
S1272,Tenom,train,3
S1273,Tenom,train,3
S1274,Tenom,train,3
S1275,Tenom,train,3
S1278,Tenom,validate,-1
S1279,Tenom,train,3
S1282,Tenom,train,3
S1283,Tenom,validate,-1
S1286,Tenom,train,3
S1287,Tenom,train,3
S1288,Tenom,train,3
S1289,Tenom,validate,-1
S1290,Tenom,train,3
S1291,Tenom,train,3
S1292,Tenom,train,3
S1293,Tenom,validate,-1
S1294,Tenom,train,3
S1295,Tenom,train,3
S1296,Tenom,train,3
S1297,Tenom,train,3
S1299,Tenom,train,3
S1300,Tenom,train,3
S1302,Tenom,validate,-1
S1304,Tenom,train,3
S1305,Tenom,validate,-1
S1306,Tenom,train,3
S1307,Tenom,train,3
